Game ID,Home,Home Elo,Home Score,Away,Away Elo,Away Score,Obs. Spread,Pred. Spread,Elo Diff.,Home Win,Away Win
244,Old Dominion,1249.03,17,Virginia Tech,1611.9,31,14,36.29,362.87,0,1
247,California,1503.04,20,Washington,1588.25,19,1,8.52,85.21,1,0
248,Northern Colorado,1193.32,17,Washington St,1552.18,59,42,35.89,358.87,0,1
249,Cal Poly SLO,1283.16,24,Weber St,1505.75,41,17,22.26,222.59,0,1
250,Central Michigan,1512.82,0,Wisconsin,1683.44,61,61,17.06,170.63,0,1
251,Howard,1200.94,28,Youngstown St,1407.51,54,26,20.66,206.57,0,1
252,Kansas,1431.23,48,Boston College,1523.54,24,24,9.23,92.3,1,0
253,Washington St,1552.18,31,Houston,1457.12,24,7,9.51,95.06,1,0
254,North Carolina,1509.9,18,Wake Forest,1582.47,24,6,7.26,72.56,0,1
255,Kennesaw St,1521.46,42,Alabama St,1331.46,7,35,19.0,190.0,1,0
256,Texas Tech,1506.64,14,Arizona,1422.92,28,14,8.37,83.72,0,1
257,Colorado St,1451.19,34,Arkansas,1390.88,55,21,6.03,60.31,0,1
259,Kent St,1449.07,16,Auburn,1654.33,55,39,20.53,205.26,0,1
260,Florida Atlantic,1528.24,41,Ball St,1452.32,31,10,7.59,75.92,1,0
261,Portland St,1346.32,10,Boise St,1655.03,45,35,30.87,308.7,0,1
262,Louisiana Tech,1485.98,35,Bowling Green,1340.8,7,28,14.52,145.18,1,0
263,Southern Cal,1598.89,27,Brigham Young,1541.81,30,3,5.71,57.09,0,1
264,Fordham,1279.64,29,Bryant,1267.87,14,15,1.18,11.77,1,0
265,Villanova,1512.39,45,Bucknell,1242.48,10,35,26.99,269.9,1,0
267,North Texas,1359.26,17,California,1503.04,23,6,14.38,143.78,0,1
268,Abilene Christian,1354.72,30,Central Arkansas,1434.53,31,1,7.98,79.81,0,1
269,Stanford,1445.65,27,Central Florida,1641.4,45,18,19.57,195.75,0,1
270,Akron,1242.49,24,Central Michigan,1512.82,45,21,27.03,270.32,0,1
271,North Carolina A&T,1487.58,27,Charleston Southern,1362.14,21,6,12.54,125.43,1,0
272,Miami OH,1500.73,13,Cincinnati,1625.38,35,22,12.47,124.66,0,1
273,Norfolk St,1370.73,7,Coastal Carolina,1455.26,46,39,8.45,84.53,0,1
274,Air Force,1623.68,30,Colorado,1455.02,23,7,16.87,168.66,1,0
277,North Dakota St,1649.89,47,Delaware,1341.12,22,25,30.88,308.76,1,0
279,VMI,1315.06,31,East Tennessee St,1283.31,24,7,3.18,31.76,1,0
280,Illinois St,1459.0,21,Eastern Illinois,1218.84,3,18,24.02,240.15,1,0
282,New Hampshire,1429.99,17,Florida Int'l,1423.54,30,13,0.64,6.45,0,1
283,North Carolina Central,1272.68,12,Gardner-Webb,1255.48,21,9,1.72,17.2,0,1
285,Arkansas St,1516.71,0,Georgia,1729.6,55,55,21.29,212.88,0,1
286,The Citadel,1409.07,27,Georgia Tech,1387.92,24,3,2.11,21.14,1,0
287,Hampton,1311.8,41,Howard,1200.94,20,21,11.09,110.86,1,0
288,Eastern Michigan,1468.97,34,Illinois,1528.31,31,3,5.93,59.34,1,0
289,Ohio State,1782.52,51,Indiana,1579.29,10,41,20.32,203.23,1,0
290,Eastern Kentucky,1425.8,7,Indiana St,1374.3,19,12,5.15,51.5,0,1
291,Iowa,1627.71,18,Iowa St,1627.41,17,1,0.03,0.3,1,0
292,Eastern Washington,1414.82,45,Jacksonville St,1360.37,49,4,5.45,54.45,0,1
293,Morgan St,1260.87,12,James Madison,1627.06,63,51,36.62,366.19,0,1
294,Florida,1675.82,29,Kentucky,1571.23,21,8,10.46,104.58,1,0
295,Sacred Heart,1392.15,56,Lafayette,1255.7,40,16,13.64,136.45,1,0
296,Buffalo,1541.82,17,Liberty,1487.55,35,18,5.43,54.28,0,1
297,Texas Southern,1138.0,6,Louisiana-Lafayette,1640.8,77,71,50.28,502.8,0,1
298,Northwestern St,1259.83,14,LSU,1743.48,65,51,48.36,483.64,0,1
299,Towson,1463.92,45,Maine,1401.49,23,22,6.24,62.43,1,0
300,Stetson,1386.35,23,Marist,1278.23,26,3,10.81,108.12,0,1
301,Ohio U.,1495.01,31,Marshall,1454.56,33,2,4.04,40.45,0,1
302,Alcorn St,1455.03,14,McNeese St,1397.83,17,3,5.72,57.2,0,1
303,Austin Peay,1523.1,48,Mercer,1289.67,34,14,23.34,233.43,1,0
304,Bethune-Cookman,1398.87,0,Miami FL,1553.87,63,63,15.5,155.0,0,1
305,Arizona St,1519.73,10,Michigan St,1522.86,7,3,0.31,3.13,1,0
306,Duke,1435.8,41,Middle Tennessee St,1385.64,18,23,5.02,50.16,1,0
307,Georgia Southern,1502.44,32,Minnesota,1670.26,35,3,16.78,167.82,0,1
308,SE Louisiana,1491.06,29,Mississippi,1507.86,40,11,1.68,16.81,0,1
309,Kansas St,1586.54,31,Mississippi St,1524.09,24,7,6.25,62.46,1,0
310,SE Missouri St,1465.63,0,Missouri,1530.34,50,50,6.47,64.71,0,1
311,Albany NY,1471.51,35,Monmouth NJ,1531.41,38,3,5.99,59.9,0,1
313,East Carolina,1425.53,10,Navy,1600.05,42,32,17.45,174.52,0,1
314,Northern Illinois,1388.32,8,Nebraska,1503.07,44,36,11.48,114.75,0,1
315,Weber St,1505.75,13,Nevada,1475.66,19,6,3.01,30.09,0,1
316,San Diego St,1564.75,31,New Mexico St,1356.47,10,21,20.83,208.28,1,0
317,Alabama A&M,1345.26,31,North Alabama,1306.46,24,7,3.88,38.8,1,0
320,UNLV,1375.75,14,Northwestern,1432.86,30,16,5.71,57.12,0,1
321,New Mexico,1330.43,14,Notre Dame,1663.92,66,52,33.35,333.49,0,1
322,Montana,1513.19,3,Oregon,1675.71,35,32,16.25,162.53,0,1
323,Cal Poly SLO,1283.16,7,Oregon St,1507.36,45,38,22.42,224.2,0,1
324,Pittsburgh,1514.67,10,Penn State,1676.97,17,7,16.23,162.3,0,1
325,Nicholls St,1436.93,42,Prairie View A&M,1385.85,35,7,5.11,51.08,1,0
326,Jacksonville FL,1244.32,30,Presbyterian,1227.45,20,10,1.69,16.87,1,0
327,TCU,1526.55,34,Purdue,1468.85,13,21,5.77,57.7,1,0
328,Texas,1537.72,48,Rice,1298.96,13,35,23.88,238.76,1,0
329,Elon,1392.53,42,Richmond,1375.92,20,22,1.66,16.61,1,0
330,Dayton,1459.86,34,Robert Morris PA,1385.08,31,3,7.48,74.77,1,0
331,Northern Colorado,1193.32,0,Sacramento St,1510.47,50,50,31.72,317.15,0,1
332,Texas St-San Marcos,1352.08,17,SMU,1601.76,47,30,24.97,249.68,0,1
333,Memphis,1667.3,42,South Alabama,1319.7,6,36,34.76,347.6,1,0
334,Alabama,1730.52,47,South Carolina,1484.79,23,24,24.57,245.74,1,0
335,Houston Baptist,1301.82,53,South Dakota,1402.91,52,1,10.11,101.08,1,0
336,Drake,1376.03,10,South Dakota St,1522.58,38,28,14.65,146.55,0,1
337,South Carolina St,1470.18,16,South Florida,1456.26,55,39,1.39,13.92,0,1
338,Tennessee-Martin,1406.89,14,Southern Illinois,1464.33,28,14,5.74,57.44,0,1
340,Stephen F. Austin,1263.01,38,Southern Utah,1232.93,45,7,3.01,30.08,0,1
342,Wagner,1197.3,10,Stony Brook,1344.29,26,16,14.7,146.99,0,1
343,Clemson,1767.37,41,Syracuse,1463.14,6,35,30.42,304.23,1,0
344,Maryland,1423.66,17,Temple,1539.7,20,3,11.6,116.03,0,1
345,Chattanooga,1373.88,0,Tennessee,1572.29,45,45,19.84,198.4,0,1
346,Jackson St,1257.78,49,Tennessee St,1246.86,44,5,1.09,10.92,1,0
348,Lamar,1241.53,3,Texas A&M,1613.82,62,59,37.23,372.28,0,1
349,Army,1499.6,31,Texas-San Antonio,1309.18,13,18,19.04,190.43,1,0
350,Murray St,1302.9,0,Toledo,1442.01,45,45,13.91,139.11,0,1
351,Southern Miss,1466.81,47,Troy,1507.77,42,5,4.1,40.96,1,0
352,Missouri St,1234.4,6,Tulane,1523.84,58,52,28.94,289.44,0,1
353,Oklahoma St,1613.62,40,Tulsa,1388.96,21,19,22.47,224.66,1,0
