,did_home_win,conference_game,neutral_site,season,week,conference,l3g_avg_points,l5g_avg_points,l7g_avg_points,l3g_avg_spread,l5g_avg_spread,l7g_avg_spread,l3g_opp_avg_points,l5g_opp_avg_points,l7g_opp_avg_points,l3g_opp_avg_spread,l5g_opp_avg_spread,l7g_opp_avg_spread,season_type_postseason,season_type_regular,conference_ACC,conference_American Athletic,conference_Big 12,conference_Big East,conference_Big Ten,conference_Conference USA,conference_FBS Independents,conference_FCS,conference_Mid-American,conference_Mountain West,conference_Pac-12,conference_SEC,conference_Sun Belt,conference_Western Athletic,team
7742,True,True,False,2019,14,Big 12,30.66666666666667,31.2,31.714285714285715,3.333333333333333,8.6,10.714285714285714,27.33333333333333,22.6,21.0,-4.333333333333333,-9.6,-11.714285714285715,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kansas State
7693,True,True,False,2019,14,Mid-American,39.0,41.0,38.714285714285715,8.0,8.4,4.714285714285714,31.0,32.6,34.0,-9.0,-9.4,-5.7142857142857135,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ball State
7706,True,True,False,2019,14,American Athletic,47.0,49.6,48.85714285714285,21.0,28.6,26.142857142857146,26.0,21.0,22.714285714285715,-22.0,-29.6,-27.142857142857146,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UCF
7758,True,True,False,2019,15,American Athletic,30.0,36.0,27.57142857142857,-2.333333333333333,8.8,-3.571428571428572,31.33333333333333,26.2,30.142857142857146,1.3333333333333333,-9.8,2.571428571428572,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cincinnati
7751,False,True,False,2019,14,Pac-12,10.333333333333334,15.8,18.428571428571427,-14.666666666666664,-7.4,-3.2857142857142856,24.0,22.2,20.714285714285715,13.666666666666664,6.4,2.2857142857142856,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California
7724,True,True,False,2019,14,ACC,18.0,25.8,25.42857142857143,-18.666666666666668,-5.4,-10.285714285714286,36.66666666666666,31.2,35.714285714285715,17.666666666666668,4.4,9.285714285714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke
7694,True,True,False,2019,14,Big 12,34.0,26.4,24.142857142857146,4.0,-8.6,-9.857142857142858,29.0,34.0,33.0,-5.0,7.6,8.857142857142858,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Texas Tech
7702,True,True,False,2019,14,Pac-12,29.0,31.6,34.714285714285715,1.6666666666666667,7.2,14.285714285714285,27.33333333333333,24.4,20.428571428571427,-2.6666666666666665,-8.2,-15.285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Washington
7742,True,True,False,2019,14,Big 12,37.66666666666666,28.8,31.285714285714285,10.0,2.4,5.7142857142857135,26.66666666666667,25.4,24.57142857142857,-11.0,-3.4,-6.7142857142857135,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Iowa State
7737,True,True,False,2019,14,SEC,4.333333333333333,13.0,16.714285714285715,-33.666666666666664,-25.2,-17.285714285714285,37.0,37.2,33.0,32.666666666666664,24.2,16.285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vanderbilt
7759,True,True,True,2019,15,SEC,43.0,42.6,45.714285714285715,27.33333333333333,26.4,28.57142857142857,15.666666666666664,16.2,17.142857142857142,-28.33333333333333,-27.4,-29.57142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,LSU
7694,True,True,False,2019,14,Big 12,34.666666666666664,35.6,37.285714285714285,-0.6666666666666666,-0.6,8.0,35.333333333333336,36.2,29.285714285714285,-0.3333333333333333,-0.4,-9.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Texas
7759,True,True,True,2019,15,SEC,32.333333333333336,33.2,32.857142857142854,18.666666666666668,19.0,19.142857142857142,12.666666666666664,13.2,12.714285714285715,-19.666666666666668,-20.0,-20.142857142857142,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Georgia
7719,True,False,False,2019,14,FBS Independents,12.666666666666664,20.0,18.285714285714285,-29.66666666666667,-29.2,-29.42857142857143,41.333333333333336,48.2,46.714285714285715,28.66666666666667,28.2,28.42857142857143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,New Mexico State
