game_id,did_home_win,conference_game,neutral_site,season,week,away_l3g_avg_points,away_l5g_avg_points,away_l7g_avg_points,home_l3g_avg_points,home_l5g_avg_points,home_l7g_avg_points,home_l3g_avg_spread,home_l5g_avg_spread,home_l7g_avg_spread,away_l3g_avg_spread,away_l5g_avg_spread,away_l7g_avg_spread,home_l3g_opp_avg_points,home_l5g_opp_avg_points,home_l7g_opp_avg_points,away_l3g_opp_avg_points,away_l5g_opp_avg_points,away_l7g_opp_avg_points,home_l3g_opp_avg_spread,home_l5g_opp_avg_spread,home_l7g_opp_avg_spread,away_l3g_opp_avg_spread,away_l5g_opp_avg_spread,away_l7g_opp_avg_spread,season_type_postseason,season_type_regular,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big East,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_FCS,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,away_conference_Western Athletic,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big East,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_FCS,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,home_conference_Western Athletic
38,FALSE,FALSE,FALSE,2011,1,9,6,6.285714286,14,24.6,22.71428571,-20,-7.6,-13.57142857,-17,-26,-32.57142857,34,32.2,36.28571429,25,31,37.85714286,19,6.6,12.57142857,16,25,31.57142857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,FALSE,FALSE,FALSE,2011,1,40.33333333,34.2,33.28571429,29.66666667,29.8,26.14285714,18.66666667,11.8,5.857142857,17.66666667,9.4,8,11,18,20.28571429,21.66666667,23.8,24.28571429,-19.66666667,-12.8,-6.857142857,-18.66666667,-10.4,-9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,TRUE,FALSE,FALSE,2011,1,21.33333333,21.4,17.28571429,51,46.6,43.71428571,18,17.2,17.71428571,-21,-20.2,-26,33,29.4,26,41.33333333,40.6,42.28571429,-19,-18.2,-18.71428571,20,19.2,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,TRUE,FALSE,FALSE,2011,1,37.33333333,33.4,29.14285714,25.66666667,21.2,24.42857143,-4,-3.4,3.428571429,-1,-3,-10.42857143,29.66666667,24.6,21,37.33333333,35.4,38.57142857,3,2.4,-4.428571429,0,2,9.428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,TRUE,FALSE,FALSE,2011,1,11.66666667,11.66666667,11.66666667,30.33333333,30,28.42857143,17.66666667,13.8,9.571428571,-30,-30,-30,12.66666667,16.2,18.85714286,40.66666667,40.66666667,40.66666667,-18.66666667,-14.8,-10.57142857,29,29,29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,TRUE,FALSE,FALSE,2011,1,28,22.8,27,21,23.6,20.28571429,2,3.4,-4.428571429,11,-3.8,4.428571429,19,20.2,24.71428571,16,25.6,21.57142857,-3,-4.4,3.428571429,-12,2.8,-5.428571429,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,TRUE,FALSE,FALSE,2011,1,40.33333333,31,25.42857143,15.33333333,24.2,30.42857143,-17.66666667,-0.2,11.71428571,7.333333333,1.2,-6,33,24.4,18.71428571,32,28.8,30.42857143,16.66666667,-0.8,-12.71428571,-8.333333333,-2.2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,TRUE,FALSE,FALSE,2011,1,14.66666667,17.4,16.14285714,45.33333333,39,39.28571429,22.33333333,17,16,-33.66666667,-28.6,-25.28571429,23,22,23.28571429,47.33333333,45,40.42857143,-23.33333333,-18,-17,32.66666667,27.6,24.28571429,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,FALSE,TRUE,FALSE,2011,1,33.33333333,33,27.71428571,24.66666667,33.6,26.42857143,-16.66666667,-7.8,-14,3.666666667,-6.6,-11.71428571,41.33333333,41.4,40.42857143,28.66666667,38.6,38.42857143,15.66666667,6.8,13,-4.666666667,5.6,10.71428571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,TRUE,FALSE,FALSE,2011,1,21.66666667,20.8,23.14285714,28.66666667,23.4,25.57142857,4.666666667,4.4,6.857142857,-11.66666667,-5.6,-2.571428571,24,19,18.71428571,32.33333333,25.4,24.71428571,-5.666666667,-5.4,-7.857142857,10.66666667,4.6,1.571428571,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,TRUE,FALSE,FALSE,2011,1,40.33333333,36.6,38.57142857,32.33333333,33.8,34,20,25.8,25.42857143,21.33333333,9.6,11.14285714,12.33333333,8,8.571428571,18,26,26.42857143,-21,-26.8,-26.42857143,-22.33333333,-10.6,-12.14285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,TRUE,FALSE,FALSE,2011,1,20,14.8,15.85714286,17.66666667,20.8,25.57142857,-32.33333333,-21.6,-11.42857143,-36,-45.8,-37.42857143,50,42.4,37,55,59.6,52.28571429,31.33333333,20.6,10.42857143,35,44.8,36.42857143,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,TRUE,FALSE,TRUE,2011,1,34.33333333,23.8,18.28571429,22,22.6,30.42857143,0.333333333,-1.2,11.57142857,-7,-16.6,-27.14285714,21.66666667,23.8,18.85714286,40.33333333,39.4,44.42857143,-1.333333333,0.2,-12.57142857,6,15.6,26.14285714,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,TRUE,FALSE,FALSE,2011,1,40.66666667,40.8,35.71428571,30.66666667,34.8,36.71428571,2.333333333,12.4,9.857142857,21.66666667,19.2,13.28571429,28.33333333,22.4,26.85714286,18,20.6,21.42857143,-3.333333333,-13.4,-10.85714286,-22.66666667,-20.2,-14.28571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,TRUE,FALSE,FALSE,2011,1,16.33333333,25.2,25.28571429,22.33333333,19.6,19.85714286,-16.66666667,-12,-8.571428571,-15,-4.4,-5.142857143,39,31.6,28.42857143,30.33333333,28.6,29.42857143,15.66666667,11,7.571428571,14,3.4,4.142857143,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,TRUE,FALSE,FALSE,2011,1,22.33333333,19.6,21.28571429,30.66666667,31.2,31.71428571,3.333333333,8.6,10.71428571,-12.33333333,-16,-15.71428571,27.33333333,22.6,21,33.66666667,34.6,36,-4.333333333,-9.6,-11.71428571,11.33333333,15,14.71428571,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
