,game_id,home_team,away_team
273,273,Wisconsin,South Dakota
274,274,Illinois,Western Michigan
275,275,Miami,Kansas State
276,276,San José State,New Mexico State
277,277,Troy,Middle Tennessee
278,278,Idaho,Fresno State
279,279,Florida International,Louisiana
280,280,New Mexico,Sam Houston State
281,281,Buffalo,Connecticut
282,282,Auburn,Florida Atlantic
283,283,Baylor,Rice
284,284,South Florida,UTEP
285,285,South Carolina,Vanderbilt
286,286,Kentucky,Florida
287,287,Mississippi State,Louisiana Tech
288,288,North Texas,Indiana
289,289,Texas Tech,Nevada
290,290,Minnesota,North Dakota State
291,291,Wyoming,Nebraska
292,292,Houston,Georgia State
293,293,Arkansas State,Central Arkansas
294,294,Boise State,Tulsa
295,295,Utah State,Colorado State
296,296,Oklahoma,Missouri
297,297,West Virginia,LSU
298,298,UNLV,Southern Utah
299,299,Arizona State,USC
300,300,Arizona,Oregon
301,301,Hawai'i,UC Davis
302,302,Pittsburgh,South Florida
303,303,UTEP,Houston
304,304,BYU,Utah State
305,305,Temple,Toledo
306,306,Army,Tulane
307,307,Kansas,Texas Tech
308,308,Navy,Air Force
309,309,Syracuse,Rutgers
310,310,Indiana,Penn State
311,311,Georgia,Mississippi State
312,312,Illinois,Northwestern
313,313,Arkansas,Texas A&M
314,314,Michigan,Minnesota
315,315,LSU,Kentucky
316,316,Boston College,Wake Forest
317,317,Tennessee,Buffalo
318,318,Eastern Michigan,Akron
319,319,Miami (OH),Cincinnati
320,320,Ohio,Kent State
321,321,Boise State,Nevada
322,322,Maryland,Towson
323,323,South Carolina,Auburn
324,324,Kansas State,Baylor
325,325,TCU,SMU
326,326,NC State,Georgia Tech
327,327,West Virginia,Bowling Green
328,328,Central Michigan,Northern Illinois
329,329,Virginia,Idaho
330,330,Ohio State,Michigan State
331,331,Louisville,Marshall
332,332,USC,Arizona
333,333,Colorado,Washington State
334,334,Connecticut,Western Michigan
335,335,Miami,Bethune-Cookman
336,336,Colorado State,San José State
337,337,Western Kentucky,Arkansas State
338,338,Virginia Tech,Clemson
339,339,Oklahoma,Ball State
340,340,Middle Tennessee,Memphis
341,341,Troy,UAB
342,342,Utah,Washington
343,343,Tulsa,North Texas
344,344,Louisiana,Florida Atlantic
345,345,Iowa State,Texas
346,346,Florida International,Duke
347,347,Louisiana Tech,Hawai'i
348,348,Southern Mississippi,Rice
349,349,Wisconsin,Nebraska
350,350,Florida,Alabama
351,351,Purdue,Notre Dame
352,352,New Mexico,New Mexico State
353,353,East Carolina,North Carolina
354,354,Fresno State,Ole Miss
355,355,Stanford,UCLA
356,356,Arizona State,Oregon State
357,357,Middle Tennessee,Western Kentucky
358,358,Oregon,California
359,359,Fresno State,Boise State
360,360,West Virginia,Connecticut
361,361,Purdue,Minnesota
362,362,Texas,Oklahoma
363,363,Georgia Tech,Maryland
364,364,North Carolina,Louisville
365,365,UAB,Mississippi State
366,366,South Carolina,Kentucky
367,367,Wake Forest,Florida State
368,368,Rice,Memphis
369,369,Miami (OH),Army
370,370,Western Michigan,Bowling Green
371,371,Akron,Florida International
372,372,Ball State,Temple
373,373,Indiana,Illinois
374,374,Clemson,Boston College
375,375,Toledo,Eastern Michigan
376,376,Navy,Southern Mississippi
377,377,LSU,Florida
378,378,Northern Illinois,Kent State
379,379,Notre Dame,Air Force
380,380,Rutgers,Pittsburgh
381,381,Kansas State,Missouri
382,382,Buffalo,Ohio
383,383,Oklahoma State,Kansas
384,384,Utah,Arizona State
385,385,Virginia Tech,Miami
386,386,NC State,Central Michigan
387,387,Oregon State,Arizona
388,388,Penn State,Iowa
389,389,Idaho,Louisiana Tech
390,390,UCF,Marshall
391,391,Louisiana,Troy
392,392,Tennessee,Georgia
393,393,Nevada,UNLV
394,394,Louisiana Monroe,Arkansas State
395,395,Houston,East Carolina
396,396,Texas Tech,Texas A&M
397,397,Northwestern,Michigan
398,398,Arkansas,Auburn
399,399,Alabama,Vanderbilt
400,400,Baylor,Iowa State
401,401,Stanford,Colorado
402,402,North Texas,Florida Atlantic
403,403,Tulane,Syracuse
404,404,Utah State,Wyoming
405,405,Nebraska,Ohio State
406,406,BYU,San José State
407,407,UCLA,Washington State
408,408,San Diego State,TCU
409,409,Air Force,San Diego State
410,410,California,USC
411,411,San José State,Hawai'i
412,412,Penn State,Purdue
413,413,Pittsburgh,Utah
414,414,Cincinnati,Louisville
415,415,Wisconsin,Indiana
416,416,Texas A&M,Baylor
417,417,Bowling Green,Toledo
418,418,Michigan State,Michigan
419,419,Mississippi State,South Carolina
420,420,North Carolina,Miami
421,421,Temple,Buffalo
422,422,Missouri,Iowa State
423,423,Rutgers,Navy
424,424,Wyoming,UNLV
425,425,Duke,Florida State
426,426,Central Michigan,Eastern Michigan
427,427,Marshall,Rice
428,428,Illinois,Ohio State
429,429,Tennessee,LSU
430,430,Texas,Oklahoma State
431,431,Virginia,Georgia Tech
432,432,Washington,Colorado
433,433,Kent State,Miami (OH)
434,434,Ohio,Ball State
435,435,Connecticut,South Florida
436,436,SMU,UCF
437,437,Tulane,UTEP
438,438,Northern Illinois,Western Michigan
439,439,Oregon State,BYU
440,440,Florida Atlantic,Western Kentucky
441,441,Nevada,New Mexico
442,442,Louisiana,North Texas
443,443,Colorado State,Boise State
444,444,Ole Miss,Alabama
445,445,Wake Forest,Virginia Tech
446,446,Maryland,Clemson
447,447,Auburn,Florida
448,448,Texas Tech,Kansas State
449,449,Iowa,Northwestern
450,450,Memphis,East Carolina
451,451,Vanderbilt,Georgia
452,452,Troy,Louisiana Monroe
453,453,Washington State,Stanford
454,454,New Mexico State,Idaho
455,455,Tulsa,UAB
456,456,Kansas,Oklahoma
457,457,Fresno State,Utah State
458,458,Oregon,Arizona State
459,459,Arkansas State,Florida International
460,460,UAB,UCF
461,461,Arizona,UCLA
462,462,Syracuse,West Virginia
463,463,Louisville,Rutgers
464,464,Missouri,Oklahoma State
465,465,Kansas,Kansas State
466,466,Purdue,Illinois
467,467,South Florida,Cincinnati
468,468,Kentucky,Jacksonville State
469,469,Buffalo,Northern Illinois
470,470,Iowa,Indiana
471,471,Clemson,North Carolina
472,472,Ole Miss,Arkansas
473,473,Duke,Wake Forest
474,474,Eastern Michigan,Western Michigan
475,475,Ball State,Central Michigan
476,476,TCU,New Mexico
477,477,Virginia Tech,Boston College
478,478,Utah State,Louisiana Tech
479,479,BYU,Idaho State
480,480,Akron,Ohio
481,481,Boise State,Air Force
482,482,LSU,Auburn
483,483,Minnesota,Nebraska
484,484,Iowa State,Texas A&M
485,485,Miami,Georgia Tech
486,486,Virginia,NC State
487,487,Bowling Green,Temple
488,488,Florida State,Maryland
489,489,Tulane,Memphis
490,490,Navy,East Carolina
491,491,Colorado,Oregon
492,492,Western Kentucky,Louisiana
493,493,Nevada,Fresno State
494,494,Houston,Marshall
495,495,North Texas,Louisiana Monroe
496,496,California,Utah
497,497,Toledo,Miami (OH)
498,498,Vanderbilt,Army
499,499,Rice,Tulsa
500,500,Northwestern,Penn State
501,501,Alabama,Tennessee
502,502,Notre Dame,USC
503,503,Stanford,Washington
504,504,Oklahoma,Texas Tech
505,505,UTEP,Colorado State
506,506,Southern Mississippi,SMU
507,507,Florida Atlantic,Middle Tennessee
508,508,Michigan State,Wisconsin
509,509,Washington State,Oregon State
510,510,Hawai'i,New Mexico State
511,511,Florida International,Troy
512,512,Pittsburgh,Connecticut
513,513,Houston,Rice
514,514,Miami,Virginia
515,515,TCU,BYU
516,516,Texas A&M,Missouri
517,517,Nebraska,Michigan State
518,518,Akron,Central Michigan
519,519,Louisville,Syracuse
520,520,Indiana,Northwestern
521,521,Florida State,NC State
522,522,Michigan,Purdue
523,523,Marshall,UAB
524,524,Vanderbilt,Arkansas
525,525,Duke,Virginia Tech
526,526,Kent State,Bowling Green
527,527,New Mexico,Air Force
528,528,Western Michigan,Ball State
529,529,Maryland,Boston College
530,530,Oregon,Washington State
531,531,Penn State,Illinois
532,532,Florida,Georgia
533,533,Rutgers,West Virginia
534,534,Louisiana Monroe,Western Kentucky
535,535,Minnesota,Iowa
536,536,Notre Dame,Navy
537,537,Miami (OH),Buffalo
538,538,Tulsa,SMU
539,539,East Carolina,Tulane
540,540,North Carolina,Wake Forest
541,541,Army,Fordham
542,542,Kansas State,Oklahoma
543,543,Oklahoma State,Baylor
544,544,Louisiana Tech,San José State
545,545,UCF,Memphis
546,546,Idaho,Hawai'i
547,547,UNLV,Colorado State
548,548,Arizona State,Colorado
549,549,Auburn,Ole Miss
550,550,Texas Tech,Iowa State
551,551,Texas,Kansas
552,552,UCLA,California
553,553,Kentucky,Mississippi State
554,554,Utah,Oregon State
555,555,Arkansas State,North Texas
556,556,Tennessee,South Carolina
