Rank,Team,Record,ELO,SoS,SoS Rank,Change,Conference,Is P5
209,Columbia,(3-7),1314.01,1436,123,N/A,Ivy League,False
210,Hampton,(5-7),1312.1,1298,247,N/A,Big South,False
211,North Alabama,(4-7),1306.81,1369,187,N/A,Big South,False
212,Murray St,(4-8),1303.27,1376,180,N/A,OVC,False
213,Houston Baptist,(5-7),1302.37,1317,240,N/A,Southland,False
214,Northern Arizona,(4-8),1301.42,1359,202,N/A,Big Sky,False
215,Texas-San Antonio,(4-8),1294.34,1430,127,N/A,CUSA West,False
216,Mercer,(4-8),1290.04,1387,167,N/A,Southern,False
217,Lehigh,(4-7),1284.55,1321,235,N/A,Patriot,False
218,East Tennessee St,(3-9),1283.6,1392,161,N/A,Southern,False
219,Cal Poly SLO,(3-8),1283.52,1385,170,N/A,Big Sky,False
220,Fordham,(4-8),1280.15,1362,200,N/A,Patriot,False
221,Morehead St,(5-7),1279.99,1323,234,N/A,Pioneer,False
222,Marist,(4-7),1278.61,1378,178,N/A,Pioneer,False
223,North Carolina Central,(4-8),1273.05,1348,209,N/A,MEAC,False
224,Colgate,(4-8),1271.47,1388,165,N/A,Patriot,False
225,Bryant,(4-8),1268.35,1320,236,N/A,NEC,False
226,Rhode Island,(2-10),1265.56,1405,149,N/A,CAA,False
227,Stephen F. Austin,(3-9),1263.48,1368,188,N/A,Southland,False
228,Morgan St,(3-9),1261.22,1367,191,N/A,MEAC,False
229,Northwestern St,(3-9),1260.26,1385,170,N/A,Southland,False
230,Jackson St,(4-8),1258.2,1318,239,N/A,SWAC East,False
231,Lafayette,(4-8),1256.23,1368,188,N/A,Patriot,False
232,Gardner-Webb,(3-9),1255.93,1372,185,N/A,Big South,False
233,Western Carolina,(3-9),1248.76,1387,167,N/A,Southern,False
234,Tennessee St,(3-9),1247.28,1342,219,N/A,OVC,False
235,Jacksonville FL,(3-9),1244.81,1353,207,N/A,Pioneer,False
236,Bucknell,(3-8),1243.0,1384,174,N/A,Patriot,False
237,Lamar,(4-8),1241.82,1344,216,N/A,Southland,False
238,Old Dominion,(1-11),1235.9,1457,106,N/A,CUSA East,False
239,Massachusetts,(1-11),1235.55,1433,124,N/A,Independent,False
240,Missouri St,(1-10),1234.81,1453,111,N/A,MVFC,False
241,Idaho St,(3-9),1234.62,1373,184,N/A,Big Sky,False
242,Southern Utah,(3-9),1233.39,1360,201,N/A,Big Sky,False
243,Western Illinois,(1-11),1230.2,1424,130,N/A,MVFC,False
244,Akron,(0-12),1229.33,1454,110,N/A,MAC East,False
245,Butler,(3-9),1228.62,1331,228,N/A,Pioneer,False
246,Presbyterian,(2-10),1227.9,1320,236,N/A,Big South,False
247,Eastern Illinois,(1-11),1219.28,1410,145,N/A,OVC,False
248,Howard,(2-10),1201.3,1374,182,N/A,MEAC,False
249,Wagner,(1-11),1197.74,1354,205,N/A,NEC,False
250,Northern Colorado,(2-10),1193.78,1342,219,N/A,Big Sky,False
251,UTEP,(1-11),1192.87,1400,153,N/A,CUSA West,False
252,Delaware St,(2-10),1188.15,1320,236,N/A,MEAC,False
253,Valparaiso,(1-11),1173.7,1347,210,N/A,Pioneer,False
254,Texas Southern,(0-11),1138.5,1334,226,N/A,SWAC West,False
255,Missouri Valley,(3-8),1126.51,1100,255,N/A,SWAC East,False
