game_id,attendance,away_conference,away_id,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,excitement_index,home_conference,home_id,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,start_time_tbd,venue,venue_id,week
52,0,FBS Independents,349,"[7, 7, 10, 7]",31,,Army,False,,Mid-American,2199,"[7, 7, 6, 7]",27,,Eastern Michigan,302472199,False,2010,regular,2010-09-04T19:00:00.000Z,,Rynearson Stadium,3912.0,1
53,0,,2210,"[3, 10, 0, 14]",27,0.16663667767941326,Elon,False,,ACC,150,"[14, 13, 0, 14]",41,0.8333633223205867,Duke,302470150,False,2010,regular,2010-09-04T19:00:00.000Z,,Wallace Wade Stadium,3982.0,1
54,0,,2449,"[0, 3, 3, 0]",6,0.04713247006082821,North Dakota State,False,,Big 12,2305,"[3, 0, 0, 0]",3,0.9528675299391718,Kansas,302472305,False,2010,regular,2010-09-04T19:00:00.000Z,,Memorial Stadium,3833.0,1
55,0,Western Athletic,2348,"[7, 10, 0, 3]",20,0.5219773824404893,Louisiana Tech,False,,,2755,"[3, 0, 3, 0]",6,0.4780226175595107,Grambling,302472755,True,2010,regular,2010-09-04T19:00:00.000Z,,,,1
56,0,Pac-10,264,"[7, 10, 0, 0]",17,0.4550926521398342,Washington,True,,Mountain West,252,"[5, 8, 10, 0]",23,0.5449073478601658,BYU,302470252,False,2010,regular,2010-09-04T19:00:00.000Z,,LaVell Edwards Stadium,3801.0,1
57,0,,2617,"[0, 7, 0, 0]",7,0.0003939228592735322,Stephen F. Austin,False,,Big 12,245,"[7, 13, 21, 7]",48,0.9996060771407265,Texas A&M,302470245,False,2010,regular,2010-09-04T19:00:00.000Z,,Kyle Field,3795.0,1
58,0,Conference USA,235,"[0, 0, 0, 7]",7,0.01539713355809802,Memphis,False,,SEC,344,"[14, 7, 21, 7]",49,0.984602866441902,Mississippi State,302470344,False,2010,regular,2010-09-04T19:00:00.000Z,,Davis Wade Stadium,3693.0,1
59,0,,2534,"[0, 0, 0, 3]",3,0.03100525381699437,Sam Houston State,False,,Big 12,239,"[14, 7, 7, 6]",34,0.9689947461830056,Baylor,302470239,False,2010,regular,2010-09-04T19:00:00.000Z,,Floyd Casey Stadium,3724.0,1
60,0,,2747,"[7, 0, 3, 0]",10,0.31716157504606424,Wofford,False,,Mid-American,195,"[7, 10, 3, 13]",33,0.6828384249539358,Ohio,302470195,False,2010,regular,2010-09-04T19:00:00.000Z,,Peden Stadium,3876.0,1
61,0,Pac-10,265,"[0, 10, 0, 7]",17,0.020289751146833068,Washington State,False,,Big 12,197,"[17, 21, 13, 14]",65,0.9797102488531669,Oklahoma State,302470197,False,2010,regular,2010-09-04T19:00:00.000Z,,Boone Pickens Stadium,3646.0,1
